sku,instanceType,vcpu,memory,storage,operatingSystem,marketoption,regionCode
N/A,c7gd.medium,1,2 GiB,1 x 59 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m7i.large,2,8 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7gd.xlarge,4,16 GiB,1 x 237 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,c7i.4xlarge,16,32 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,g6.16xlarge,64,256 GiB,2 x 940 GB NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6in.24xlarge,96,192 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,r7i.metal-24xl,96,768 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,i4i.32xlarge,128,1024 GiB,8 x 3750 SSD,Windows,OnDemand,ap-southeast-5
N/A,i3en.metal,96,768 GiB,8 x 7500 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,i4i.4xlarge,16,128 GiB,1 x 3750 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c7g.8xlarge,32,64 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6i.8xlarge,32,64 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r7i.xlarge,4,32 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,c7g.metal,64,128 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c6in.32xlarge,128,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m7i.metal-24xl,96,384 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6i.32xlarge,128,512 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6gd.metal,64,256 GiB,2 x 1900 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m7i.16xlarge,64,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
